Packet_Size,Packet_Rate,Duration,Protocol,Source_Port,Destination_Port,Bytes,Flow_Duration,Device_Type,Attack_Type,Label
774.3343163,341.4962014,29.02855983,UDP,36000,22,64917.64704,17.93022763,Smart TV,Malware,1
401.9848185,29.5756619,5.180313655,ICMP,16428,443,4005.32286,13.42062844,Router,None,0
319.4772107,321.8552189,10.12409783,UDP,4645,443,41029.87428,39.13382272,Camera,Botnet,1
634.6293283,24.14815923,2.206254181,TCP,41172,80,5110.154116,9.359237626,Camera,None,0
348.2333728,395.2444828,20.33629368,TCP,50552,443,25762.76216,28.5582208,Smart TV,Botnet,1
1360.9077,646.8931844,1,UDP,7172,3389,71310.72689,2.1012006,Camera,DDoS,1
673.3212443,17.58262188,9.794753179,TCP,23596,21,5425.079333,6.494095342,Smart Thermostat,None,0
248.9516131,155.876785,13.63613804,TCP,12859,3389,8082.917324,20.5000164,Camera,Brute Force,1
479.5510903,22.20517603,5.860602718,UDP,33513,443,4612.485911,11.99675571,Router,None,0
325.1526279,381.2322792,18.48694242,UDP,59551,443,25824.61268,30.60342429,Smart Lock,Botnet,1
659.3223359,29.30862065,7.707171779,UDP,6573,8080,3405.599648,5.558390462,Camera,None,0
370.6490188,386.4245467,12.03765175,TCP,5811,23,39419.97236,34.60967767,Sensor,Botnet,1
1293.489755,901.5061056,1,TCP,1648,22,75474.6223,1.635699748,Smart TV,DDoS,1
432.7607321,33.58459576,3.212487323,ICMP,40032,21,4519.102998,9.401104526,Smart Thermostat,None,0
511.336399,30.10802085,4.887117806,TCP,21142,8080,5479.590374,9.674390102,Smart Thermostat,None,0
365.2451541,37.66867293,2.550590445,TCP,59089,8080,4366.451147,11.74932441,Smart Thermostat,None,0
379.3872333,37.18621625,4.683957543,TCP,42466,80,3827.066887,10.49244208,Smart Thermostat,None,0
554.2122321,34.77529337,2.67514244,TCP,61135,443,3515.969868,16.72876094,Camera,None,0
236.9578497,137.2457359,19.2730101,UDP,19793,3389,9055.355857,13.28054817,Camera,Brute Force,1
1030.031215,304.8863906,24.36951613,TCP,30260,443,56373.54741,27.68940304,Smart Lock,Malware,1
449.6911212,20.66059547,3.979118302,UDP,3505,22,3223.248846,13.28060376,Smart Thermostat,None,0
193.8622108,130.5575616,15.75478125,UDP,65037,443,8959.840694,24.39651193,Camera,Brute Force,1
977.1772887,268.6576237,33.42621872,ICMP,42139,23,66786.09244,26.62505659,Sensor,Malware,1
152.3606329,20.23191507,7.201715947,TCP,62823,22,4882.19764,10.6453127,Camera,None,0
831.7206162,185.9726711,33.61948981,UDP,15057,80,42029.34848,29.44686041,Router,Malware,1
593.3320867,38.07008282,1.760256011,UDP,1621,22,5187.725093,6.938130941,Smart Thermostat,None,0
1695.401584,949.2529094,1.130436288,ICMP,4671,3389,89969.70941,1.734445857,Sensor,DDoS,1
489.1913365,32.21186485,4.167829757,TCP,41773,8080,4773.691891,11.98933714,Sensor,None,0
704.7128334,49.98288983,7.373782689,UDP,30785,8080,4576.069504,15.02192349,Sensor,None,0
564.5738524,43.37398107,4.690988642,ICMP,32543,22,4242.496791,10.52972008,Camera,None,0
446.464927,35.58218576,5.303033943,TCP,61097,8080,4382.057574,12.39673878,Smart TV,None,0
427.1901389,25.98956183,4.213404106,TCP,45647,22,5477.8363,11.46461392,Smart Thermostat,None,0
405.135866,39.81072799,1.525156142,UDP,46845,443,3630.544662,10.8754383,Smart TV,None,0
714.2153362,40.08050263,3.812209342,TCP,53736,22,5473.224346,7.665477147,Sensor,None,0
440.7994742,20.69699857,6.228939735,TCP,7962,8080,4214.859889,10.3958719,Sensor,None,0
507.7931705,34.2032283,6.651341907,TCP,12604,22,1296.18232,8.135614097,Camera,None,0
69.85007476,606.7697834,1,UDP,59383,3389,1285.388817,1,Router,Port Scan,1
298.6820486,367.4148866,19.5032954,UDP,61448,23,27167.88232,12.19416832,Smart Thermostat,Botnet,1
477.6341089,13.14628135,5.809744573,TCP,55425,21,2773.494407,7.451076895,Camera,None,0
406.0184166,18.63077419,1,TCP,56811,443,2448.980588,11.35905627,Camera,None,0
395.9593692,31.19225861,3.857101562,TCP,19230,22,3830.280204,11.24137695,Sensor,None,0
805.4368188,244.2253026,42.53817086,UDP,47497,22,56060.77959,13.51014268,Router,Malware,1
528.2683845,38.71934367,3.876386913,UDP,36472,80,2935.527254,4.514814066,Smart Lock,None,0
510.6722649,15.35467632,2.945538807,UDP,22588,21,3637.38905,8.656400765,Router,None,0
56.22921147,611.7920472,1,TCP,38686,22,1906.18344,1.244388554,Smart TV,Port Scan,1
